Library Type,NC Dept. of Commerce Tier Designation (2020),Legal Service Population Area,Central,Branches,Bookmobiles,Mobile Units,Kiosks,Annual Hours,Library Square Feet per Capita
County,2,169813,1,3,1,1,0,10744,0.32819
Regional,1,64526,1,6,0,2,0,14487,0.50383
County,2,36325,1,2,0,0,0,4887,0.36118
Regional,2,146871,0,5,0,2,0,8108,0.48411
Regional,2,51354,0,4,1,1,0,10920,0.55521
Regional,1,61032,1,7,0,0,0,16640,0.52369
County,1,29402,1,2,1,2,0,6006,0.51942
County,1,89736,1,4,1,0,0,7514,0.7201
County,3,143550,0,5,0,0,0,11854,0.23585
County,3,271454,1,11,0,1,0,26832,0.49314
County,1,87731,1,2,0,0,0,8788,0.39325
County,3,231230,1,4,0,0,0,13114,0.24972
County,1,80788,1,2,0,0,0,7332,0.44929
County,3,68284,1,4,0,0,0,13131,0.51999
County,1,22402,1,0,0,1,0,3144,0.68324
County,2,117776,1,6,1,1,1,16163,0.55529
Municipal,3,61789,1,0,0,1,1,2562,1.02454
County,3,1121482,1,20,1,0,0,63460,0.48236
County,3,77420,1,2,0,0,0,6600,0.45208
County,1,90647,1,1,0,0,0,3280,0.31992
County,1,50369,1,5,1,2,0,14446,0.48851
Regional,2,114322,0,5,0,0,0,11730,0.41273
County,1,342082,1,7,0,1,0,23844,0.55612
County,2,164144,1,4,1,0,0,16562,0.41419
County,2,43280,1,1,0,1,2,8164,0.41876
County,1,48754,1,5,0,0,0,7072,0.30016
County,3,325072,1,6,1,2,0,17653,0.64152
Regional,2,118375,1,7,1,0,0,18281,0.57373
County,1,48311,1,1,0,1,0,5578,0.4854
Municipal,1,4430,1,0,0,0,0,2926,2.11422
Regional,1,94244,0,6,0,0,0,12863,0.89614
County,2,383969,1,9,2,0,0,33352,0.5783
County,2,71220,1,3,1,1,0,8352,0.23162
County,2,231656,1,9,0,0,0,20748,0.39815
Municipal,1,9793,1,0,0,0,0,2688,1.22537
Municipal,2,9117,1,0,0,0,0,2672,0.26324
MUNICIPAL,3,18074,1,0,0,0,0,2106,0.20471
County,2,61150,1,3,0,3,2,26208,0.51763
County,2,430004,1,7,0,0,0,24967,0.41392
County,1,42270,1,0,0,1,0,2100,0.89898
County,1,33117,1,4,0,1,0,9300,0.90313
County,2,136820,1,6,0,1,0,11974,0.28279
Municipal,1,5729,1,0,0,0,0,2544,1.0473
County,2,62495,1,3,0,0,0,6561,0.54929
County,3,116710,1,5,0,0,0,12350,0.52943
Municipal,2,44073,1,1,0,2,0,5420,1.0165
Municipal,2,114594,1,0,1,1,1,3311,0.72814
Municipal,3,28188,1,0,0,0,0,2756,0.31574
County,3,139207,1,2,0,0,0,9048,0.45975
Municipal,1,11420,1,0,0,0,0,2600,1.17837
County,2,64068,1,1,0,2,0,2640,0.30558
County,3,89556,1,2,0,1,0,8331,0.38139
County,2,21446,1,2,0,0,0,7488,1.00536
County,2,44688,1,1,0,0,0,4250,0.49879
Municipal,3,52545,1,0,0,1,1,3061,0.64706
Regional,2,48266,0,4,1,0,0,10700,0.78457
Regional,1,84177,1,7,1,3,0,16224,0.72394
County,3,229943,1,3,0,1,0,11232,0.58815
Regional,2,164569,0,13,1,0,0,31224,0.62958
County,1,206530,1,3,0,0,0,11596,0.16528
County,3,89293,1,1,0,0,0,5928,0.35344
County,3,62978,1,1,0,0,0,4488,0.33345
County,2,39486,1,0,1,1,0,3328,0.32417
Regional,1,40973,0,4,0,1,0,7696,1.00124
County,2,19559,1,1,0,1,0,5153,1.24597
County,3,198473,1,5,0,1,2,11093,0.2702
County,2,145036,1,6,0,2,0,17316,0.45997
Municipal,1,15097,1,0,0,0,0,2080,0.5001
County,1,116485,1,6,0,2,0,11856,0.32715
County,1,91706,0,4,1,1,0,11998,0.48183
County,2,147799,1,3,1,1,1,11765,0.59329
County,1,64263,1,2,0,1,0,6786,0.26888
County,1,59019,1,3,0,1,0,6488,0.27652
Regional,2,212145,0,15,2,0,0,27688,0.45261
County,1,33292,1,0,1,0,0,2780,0.25222
County,1,167584,1,4,1,0,0,11289,0.49811
Municipal,3,15961,1,0,0,0,1,11132,0.92413
County,2,62659,1,5,0,1,0,9408,0.70054
County,3,33361,1,0,1,0,0,3536,1.04346
County,3,242948,1,3,0,0,0,10816,0.27227
County,3,1150722,0,23,0,1,0,61410,0.27813
County,1,18850,1,0,0,1,0,2288,0.7305
County,1,117662,1,3,0,1,0,8148,0.39664
County,1,78559,1,5,1,0,0,12009,0.68487
