FSCS Key,Library Name,Library Type,Adult Book Circulation,Young Adult Book Circulation,Juvenile Book Circulation,Print Periodicals Circulation,Total Print Circulation,Analog Audio Circulation,Analog Video Circulation,eBook Circulation,eAudio Circulation,eVideo Circulation,ePeriodicals Circulation,Database Use,Electronic Content Use,Total Collection Use,Childrens Materials Circulation
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,143017,11347,134188,2682,299423,21371,57731,59718,32060,477,3565,84624,180444,559397,171488
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,26541,1628,14510,219,43010,2277,4368,4281,2209,40,44,4130,10704,60368,16208
NC0016,ALEXANDER COUNTY LIBRARY,County,20933,2809,19219,0,42988,1356,4741,4037,3510,3,117,126,7793,56878,22236
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,182081,15671,177390,1056,376753,16956,34926,37852,23826,2416,4556,42247,110897,542634,193061
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,47025,2149,33643,1,83040,1906,4842,14113,10068,31,1092,736,26040,115979,-1
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,24382,1059,16298,170,41969,674,3160,2454,338,15,0,5185,7992,53898,32710
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,11337,703,13270,64,25466,354,1885,2648,1371,41,47,1905,6012,33777,19437
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,50404,4031,54727,237,109627,2935,8126,18395,9759,59,721,59565,88499,209859,56901
NC0018,BRUNSWICK COUNTY LIBRARY,County,211425,-2,57065,0,268488,8688,14867,37443,5872,84,0,91924,135323,429439,57065
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,447580,42889,518946,6,1011188,57159,68343,273461,233253,631,24765,360693,892803,2030766,611837
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,69020,7359,57550,83,134068,2649,1728,41901,17563,329,2208,21831,83832,222285,68398
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,188427,40241,407881,837,637386,14116,29702,58616,66983,2607,5826,140056,274088,955292,448122
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,73095,10068,67679,2280,153233,3628,23606,21506,21042,622,278,2351,45799,228269,67679
NC0113,Carteret County Public Library System,County,106152,7432,68997,382,183044,5960,15444,16196,13729,606,193,57546,88270,293598,76429
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,7511,1118,7896,81,16609,331,1716,1803,732,17,127,69,2748,21409,11054
NC0023,CATAWBA COUNTY LIBRARY,County,112020,12560,140411,2071,267062,8553,59494,49555,39026,105,217,69468,158371,493586,176698
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,341342,44559,657785,1414,1045100,22981,76431,149819,105716,1459,1015,37093,295102,1440149,752796
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,1116724,146658,1952074,0,3215456,110627,140117,1443808,802864,105721,84495,3315292,5752180,9218380,2722386
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,71233,7405,96722,1462,176883,4247,19051,58603,22777,182,5401,9337,96300,296481,127137
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,66096,3609,53000,0,122781,2652,7411,24543,9327,679,2078,8478,45105,182018,44105
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,83987,7536,44669,612,136804,510,2728,4272,1945,3,1527,57066,64813,204855,17439
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,97102,5766,73172,2196,180453,4412,3580,36383,26106,703,4320,102902,170414,360271,73314
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,272268,57178,404878,9288,744006,24155,101989,175853,136614,31562,1628,241310,586967,1464324,409845
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,137535,16925,114748,378,270222,6954,21380,93964,53601,4615,567,93600,246347,557180,114748
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,24157,1550,23079,9,49143,2093,2567,24172,8803,25,5031,48249,86280,140559,24808
NC0029,DUPLIN COUNTY LIBRARY,County,10812,305,6911,204,18232,1344,3476,6811,2729,9,1252,921,11722,34774,7216
NC0030,DURHAM COUNTY LIBRARY,County,665895,73242,844236,0,1583373,39814,130062,467263,264673,10834,32829,8611934,9387533,11142133,951486
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,130863,7227,126723,717,265541,4950,24515,16778,10692,92,0,10576,38138,334823,138587
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,20942,822,7251,0,29015,227,889,13682,2483,1186,0,5421,22772,52903,8073
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,11216,1245,13959,496,26964,212,1936,7622,1894,4,875,7752,18147,47438,14580
NC0008,FONTANA REGIONAL LIBRARY,Regional,120100,10454,89175,2963,223643,9178,22576,63746,40456,212,4388,11315,120117,379663,149113
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,453842,28939,325178,7250,816215,38254,64754,213066,277453,1439,6055,1689044,2187057,3109816,400606
NC0033,FRANKLIN COUNTY LIBRARY,County,31326,4205,43519,1321,80398,1367,6891,13100,4774,32,1817,1569,21292,115206,53355
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,222712,27705,266112,1855,518384,15452,75919,128408,51446,2345,559,68931,251689,865211,373770
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,17867,1733,9171,0,28823,993,4105,11238,4170,104,1593,31248,48353,82317,6887
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,7279,1502,12238,14,21033,117,2707,2115,2498,326,10,1355,6304,30568,15924
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,15440,305,6031,0,21776,1098,0,15412,5833,2,706,0,21953,44827,6031
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,41525,4606,29716,466,76688,1756,10944,15568,7180,52,1608,18348,42756,132905,16670
NC0035,GREENSBORO PUBLIC LIBRARY,County,258312,60984,550151,8,889387,19648,84573,395476,279164,21192,22224,285884,1003940,1998329,693590
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,26571,755,8871,0,36236,1549,39,2394,922,5,164,530,4015,42232,9626
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,76871,8895,133859,284,223049,5455,11147,39717,28343,484,1648,55280,125472,366200,167812
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,9193,865,9240,87,19395,663,2047,2214,1215,4,70,12,3515,25882,10105
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,86500,5026,57182,2047,151133,9663,35587,49289,35850,179,6026,40936,132280,329529,58962
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,319620,22456,271657,3468,618492,30960,78291,98737,78170,3331,24116,78704,283058,1014300,355920
NC0079,HICKORY PUBLIC LIBRARY,Municipal,80874,10018,92435,1253,184580,9950,37752,23195,20136,2010,119,8112,53572,285854,117962
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,122461,11725,107425,65,241676,7178,48174,228691,31151,195,759,251921,512717,809745,107425
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,20630,3962,61333,0,86342,1538,324,10576,4410,77,374,25937,41374,129838,62314
NC0040,IREDELL COUNTY LIBRARY,County,145924,17910,128920,0,293557,9001,2677,57209,27260,252,5711,41722,132154,439897,179886
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,18392,1683,17454,345,37966,495,5737,12011,4664,417,1441,13676,32209,77656,20110
NC0042,LEE COUNTY LIBRARY,County,38455,2719,41359,796,83425,1970,11044,21530,9565,495,1594,1409,34593,133268,50999
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,70963,5505,111330,0,187798,5613,18020,46139,30480,2228,6153,28255,113255,324950,111330
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,36162,2906,39781,436,79332,3090,14775,12164,8590,58,963,31507,53282,150859,45034
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,50639,3624,30218,1373,86048,3525,28262,18652,9600,34,1695,14176,44157,162011,41701
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,101750,16519,226561,0,344843,9402,34829,70484,46695,220,230,67403,185032,574106,261696
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,63765,2650,26873,520,93877,4310,17944,2781,2025,110,227,7832,12975,129155,19735
NC0012,NEUSE REGIONAL LIBRARY,Regional,62491,7775,39476,1563,112004,2705,5653,40724,9663,155,644,52097,103283,227206,76095
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,401189,30679,363142,7754,803399,26874,82330,154082,93947,1883,12192,596018,858122,1773113,366211
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,193208,14896,160396,0,368813,6810,26431,20234,7021,524,0,22821,50600,454811,176996
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,118522,18122,207148,1354,345832,12622,47622,52231,41031,1279,641,209452,304634,711951,185012
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,67229,12247,146407,200,226083,7156,14696,61886,35126,1469,0,49900,148381,399680,158654
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,80180,7897,113059,1138,202400,5087,6400,36361,14303,193,2672,34849,88378,302919,113059
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,17011,3162,17123,53,37905,681,1745,8373,3356,40,657,1593,14019,54426,20285
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,34753,2818,58703,942,97294,2154,2482,13607,5179,4,648,525,19963,121943,58703
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,39016,2608,24308,523,66858,2832,12130,10992,4893,21,643,1638,18187,101136,24308
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,48349,3251,33914,1454,87066,4782,37256,14745,10280,91,1436,3624,30176,160640,48730
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,70414,10422,75653,1,157799,4459,6156,17594,5251,455,0,57964,81264,253278,67304
NC0052,RANDOLPH PUBLIC LIBRARY,County,114902,10555,103623,678,229758,5494,45856,30298,10711,183,6477,59290,106959,388359,124363
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,5682,328,2698,96,8854,273,756,1684,306,22,102,378,2492,12375,3043
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,28140,3439,35499,0,67078,464,12762,7257,3019,18,911,101593,112798,193102,42492
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,98952,6392,44227,1795,151999,7215,24401,8348,772,77,0,51402,60599,244594,57117
NC0055,ROWAN PUBLIC LIBRARY,County,131323,11821,120623,0,263767,3610,24478,61792,34543,173,507,51156,148171,445445,141993
NC0056,RUTHERFORD COUNTY LIBRARY,County,54343,3916,47621,5518,111457,4538,24892,30617,12809,119,146,7226,50917,192865,61660
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,53811,1909,45787,99,101780,280,3850,6533,2917,1015,655,2638,13758,119699,49696
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,102740,9688,126193,368,239139,5301,5165,53062,23731,1013,2605,242247,322658,573472,143821
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,14491,1280,6254,0,22056,772,2164,5609,1720,56,144,1697,9226,34233,12663
NC0050,SHEPPARD MEMORIAL LIBRARY,County,122936,12314,190905,814,326969,9666,7050,30524,25025,125,6116,132518,194308,538165,226699
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,43291,3323,67780,677,115071,5497,2502,29173,19224,17,1119,46085,95618,218688,71103
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,50220,1734,35584,486,88301,2710,4997,17946,8544,24,1230,4373,32117,128549,35584
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,105494,8661,94813,590,210518,9214,49904,34198,25986,1069,211,36499,97963,369520,115883
NC0061,UNION COUNTY PUBLIC LIBRARY,County,188642,27466,308058,2938,527104,10502,51754,88397,49795,4674,8079,358428,509373,1098943,350026
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,2396743,310216,4888607,12,7595578,62860,0,1146773,838119,3042,99597,878135,2965666,10624104,5822719
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,11691,828,6523,377,19463,652,3583,635,104,8,0,48949,49696,73401,6533
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,75477,6861,64680,1295,148559,4214,9498,25865,12331,129,2093,28282,68700,232017,55615
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,88783,9547,96776,1369,196475,4361,13505,7067,2253,9,0,65484,74813,289154,175625
